,Missed States,X,Y
0,Alaska,-204,-170
1,Arizona,-203,-40
2,Arkansas,57,-53
3,California,-297,13
4,Colorado,-112,20
5,Connecticut,297,96
6,Delaware,275,42
7,Florida,220,-145
8,Georgia,182,-75
9,Hawaii,-317,-143
10,Idaho,-216,122
11,Illinois,95,37
12,Indiana,133,39
13,Iowa,38,65
14,Kansas,-17,5
15,Kentucky,149,1
16,Louisiana,59,-114
17,Maine,319,164
18,Maryland,288,27
19,Michigan,148,101
20,Minnesota,23,135
21,Missouri,49,6
22,Montana,-141,150
23,Nebraska,-61,66
24,Nevada,-257,56
25,New Hampshire,302,127
26,New Jersey,282,65
27,New Mexico,-128,-43
28,New York,236,104
29,North Carolina,239,-22
30,North Dakota,-44,158
31,Ohio,176,52
32,Oklahoma,-8,-41
33,Oregon,-278,138
34,Pennsylvania,238,72
35,Rhode Island,318,94
36,South Carolina,218,-51
37,South Dakota,-44,109
38,Tennessee,131,-34
39,Utah,-189,34
40,Vermont,282,154
41,West Virginia,200,20
42,Wisconsin,83,113
43,Wyoming,-134,90
